tw_topic_1,tw_topic_2,tw_topic_3,tw_topic_4,tw_topic_5,date
0.7615135,0.025734097,0.16157614,0.025726547,0.025449738,2020-07-14
0.58590317,0.30486658,0.08800075,0.010654432,0.010575104,2020-07-15
0.016895156,0.01689518,0.22148243,0.016895415,0.72783184,2020-07-16
0.95244026,0.011981127,0.011845328,0.011852695,0.011880633,2020-07-17
0.21115631,0.7425637,0.015426629,0.015426629,0.015426657,2020-07-18
0.64312255,0.21363598,0.03490681,0.09977992,0.008554742,2020-07-19
0.7111267,0.014503324,0.014309066,0.24575187,0.014309081,2020-07-20
0.6070293,0.007894467,0.30143118,0.075813726,0.007831304,2020-07-21
0.01832064,0.9264788,0.018247992,0.01863221,0.018320303,2020-07-22
0.5773615,0.013969334,0.3412944,0.013393407,0.05398133,2020-07-23
0.9497199,0.012655661,0.012535604,0.012551154,0.012537619,2020-07-24
0.94959015,0.012755423,0.012549468,0.012561361,0.012543589,2020-07-25
0.54638684,0.2761548,0.13234739,0.022726834,0.022384172,2020-07-26
0.8649002,0.034486964,0.03344942,0.03369699,0.03346643,2020-07-27
0.9196319,0.020107891,0.02006805,0.02012999,0.02006217,2020-07-28
0.8672334,0.01341112,0.013387268,0.09259709,0.0133711705,2020-07-29
0.7250839,0.018505396,0.018248651,0.21991333,0.018248698,2020-07-30
0.96497655,0.008834016,0.008728481,0.008732065,0.008728905,2020-07-31
0.8759192,0.09237019,0.010566551,0.010572972,0.010571087,2020-08-01
0.95769095,0.010617602,0.010572717,0.01055955,0.010559196,2020-08-02
0.898113,0.011395022,0.011158975,0.06817402,0.011159005,2020-08-03
0.71757674,0.2217579,0.020192401,0.020237887,0.020235108,2020-08-04
0.51234335,0.12317703,0.018249553,0.32798043,0.018249594,2020-08-05
0.82904315,0.011950513,0.011794601,0.1354191,0.011792638,2020-08-06
0.3918842,0.10330675,0.4601937,0.022451745,0.02216361,2020-08-07
0.9577033,0.0106196,0.010552183,0.010568755,0.010556175,2020-08-08
0.8372902,0.014414178,0.11963691,0.014335258,0.01432342,2020-08-09
0.9707565,0.007379473,0.0072307955,0.0073025827,0.0073306877,2020-08-10
0.050637487,0.5434931,0.3003798,0.052718885,0.05277073,2020-08-11
0.81525296,0.008958591,0.008757191,0.008760236,0.15827101,2020-08-12
0.33678776,0.02285323,0.12750578,0.49006185,0.022791408,2020-08-13
0.524392,0.013442506,0.013344117,0.4354643,0.013357057,2020-08-14
0.9615946,0.00970286,0.009608136,0.009549461,0.009544965,2020-08-15
0.69140416,0.095052175,0.06601539,0.008477471,0.13905081,2020-08-16
0.7570065,0.012578692,0.012520102,0.20537455,0.012520116,2020-08-17
0.7443512,0.17131144,0.010264236,0.06382651,0.010246659,2020-08-18
0.4314216,0.012178728,0.46901095,0.07527774,0.012110951,2020-08-19
0.67624265,0.073084176,0.22900672,0.010566272,0.011100205,2020-08-20
0.38530728,0.05025064,0.050180424,0.46402982,0.05023182,2020-08-21
0.7599613,0.15415086,0.028080054,0.028873181,0.028934618,2020-08-22
0.23426569,0.71531355,0.016862495,0.016769152,0.016789135,2020-08-23
0.6401426,0.009972476,0.0098983655,0.33016276,0.0098238215,2020-08-24
0.38127556,0.5866799,0.010694708,0.010770352,0.010579491,2020-08-25
0.9462916,0.013477107,0.013432531,0.013408637,0.013390061,2020-08-26
0.5980929,0.24962549,0.051167667,0.09238206,0.0087318905,2020-08-27
0.951888,0.012342822,0.012132767,0.011815821,0.011820572,2020-08-28
0.93483216,0.007474258,0.042740814,0.0074742003,0.0074785356,2020-08-29
0.9183732,0.0091813905,0.054042384,0.009256949,0.009146044,2020-08-30
0.9616664,0.009667756,0.009549914,0.009578178,0.00953768,2020-08-31
0.6885345,0.27739197,0.011231733,0.01169236,0.0111494465,2020-09-01
0.0089346245,0.12549688,0.008715123,0.8481364,0.008716915,2020-09-02
0.5159554,0.248303,0.20462634,0.015591913,0.015523372,2020-09-03
0.8476078,0.010246963,0.06819124,0.01008891,0.063865125,2020-09-04
0.83071417,0.018234879,0.11460847,0.018252937,0.018189488,2020-09-05
0.959846,0.010114011,0.010005411,0.010029144,0.0100054145,2020-09-06
0.810251,0.13829342,0.017136248,0.017182581,0.017136745,2020-09-07
0.8849268,0.02880715,0.029022604,0.028654825,0.028588654,2020-09-08
0.7202357,0.011272803,0.011168048,0.24618456,0.011138953,2020-09-09
0.7115297,0.008478235,0.09589554,0.13537064,0.04872592,2020-09-10
0.72558534,0.24251774,0.0106474925,0.010625694,0.01062377,2020-09-11
0.78144014,0.009162534,0.14285836,0.05740832,0.009130668,2020-09-12
0.39466882,0.067227155,0.067871764,0.067228734,0.40300357,2020-09-13
0.7672258,0.10882721,0.01056889,0.10282132,0.010556763,2020-09-14
0.49725905,0.01209466,0.011833285,0.46699625,0.011816722,2020-09-15
0.6080195,0.0141828805,0.014072024,0.3497049,0.014020772,2020-09-16
0.5982522,0.100175865,0.100176156,0.10121958,0.100176245,2020-09-17
0.6706241,0.009572529,0.20177661,0.10858141,0.009445358,2020-09-18
0.51259935,0.017274728,0.016787149,0.43661863,0.016720163,2020-09-19
0.62241465,0.008148334,0.008039104,0.35336003,0.008037877,2020-09-20
0.13616247,0.23855878,0.4038324,0.19611326,0.025333034,2020-09-21
0.65545374,0.2448193,0.012151412,0.07548036,0.012095196,2020-09-22
0.035103366,0.8641381,0.033563696,0.033581488,0.03361327,2020-09-23
0.4096998,0.25091717,0.009442577,0.22923763,0.10070286,2020-09-24
0.83969706,0.04014972,0.040013243,0.040126696,0.040013254,2020-09-25
0.22131544,0.7466251,0.010691738,0.010685907,0.010681781,2020-09-26
0.9374769,0.015656061,0.015475381,0.015726756,0.015664922,2020-09-27
0.20698848,0.7456263,0.015846318,0.015760912,0.01577798,2020-09-28
0.73682994,0.028817426,0.0287911,0.17677034,0.028791236,2020-09-29
0.7656495,0.009226101,0.2068549,0.009133931,0.009135576,2020-09-30
0.8157132,0.010068517,0.010043025,0.15412948,0.010045752,2020-10-01
0.020237649,0.71129245,0.020194938,0.22813249,0.020142464,2020-10-02
0.7836534,0.175836,0.013474784,0.013554023,0.013481781,2020-10-03
0.08324983,0.57671595,0.051851854,0.00879714,0.2793852,2020-10-04
0.9287826,0.007790612,0.007755663,0.0479332,0.0077379798,2020-10-05
0.7104551,0.2652562,0.008014677,0.0082540475,0.008019946,2020-10-06
0.4832854,0.08645415,0.4034243,0.013465797,0.013370396,2020-10-07
0.7529481,0.008117188,0.06664932,0.16419838,0.008086995,2020-10-08
0.022675946,0.780922,0.15128568,0.022333972,0.022782426,2020-10-09
0.9647704,0.008981203,0.0087115215,0.0088123735,0.008724519,2020-10-10
0.5085475,0.4162669,0.02503034,0.025081899,0.025073377,2020-10-11
0.43973863,0.5361075,0.008035294,0.008045571,0.008073068,2020-10-12
0.79049474,0.10332592,0.09008609,0.008050706,0.00804252,2020-10-13
0.009131606,0.053343233,0.8712125,0.05712131,0.009191316,2020-10-14
0.12880374,0.6557487,0.015544536,0.0155452285,0.18435773,2020-10-15
0.41467622,0.5417881,0.0144933015,0.01469055,0.014351797,2020-10-16
0.8490902,0.016826563,0.016739307,0.100608945,0.016734969,2020-10-17
0.8253778,0.010453821,0.01020821,0.14389965,0.01006052,2020-10-18
0.64983857,0.073988825,0.008853021,0.25858223,0.00873733,2020-10-19
0.93235475,0.017305985,0.016779937,0.016787823,0.016771492,2020-10-20
0.70558023,0.26428336,0.010066735,0.010032734,0.01003688,2020-10-21
0.94979954,0.012562096,0.012556054,0.012548711,0.0125335865,2020-10-22
0.012566091,0.012548594,0.012592585,0.012538253,0.9497545,2020-10-23
0.6897669,0.022273296,0.24330999,0.022388536,0.02226133,2020-10-24
0.8992065,0.025531312,0.025248852,0.025006656,0.025006661,2020-10-25
0.9101887,0.010119198,0.059619,0.010045788,0.01002732,2020-10-26
0.3469825,0.07282243,0.07283053,0.07283267,0.4345319,2020-10-27
0.5383022,0.4354471,0.0087436605,0.008767863,0.008739256,2020-10-28
0.8334385,0.019029677,0.018439911,0.018439937,0.11065192,2020-10-29
0.5474911,0.011333894,0.011178425,0.3078381,0.12215848,2020-10-30
0.4441049,0.014567621,0.31213033,0.21482578,0.014371346,2020-10-31
0.9523832,0.011947828,0.012014872,0.011824389,0.011829674,2020-11-01
0.94245756,0.014434949,0.014357962,0.01440099,0.014348534,2020-11-02
0.9595657,0.010342874,0.010033104,0.010030194,0.010028126,2020-11-03
0.37363502,0.37910566,0.08415681,0.15352564,0.009576904,2020-11-04
0.96474123,0.0090354,0.008767809,0.008710736,0.00874487,2020-11-05
0.731611,0.06698648,0.06698688,0.06742849,0.06698712,2020-11-06
0.6501094,0.018587656,0.111279316,0.20147994,0.018543657,2020-11-07
0.59999096,0.21717776,0.014335594,0.15412922,0.014366491,2020-11-08
0.46704486,0.012817852,0.23109621,0.21242818,0.076612905,2020-11-09
0.5681561,0.13748464,0.27504015,0.00968684,0.009632277,2020-11-10
0.010623807,0.8197978,0.14757258,0.010806252,0.011199497,2020-11-11
0.9495959,0.012663388,0.012606218,0.012589301,0.012545168,2020-11-12
0.20050058,0.7690662,0.01014723,0.010142371,0.010143654,2020-11-13
0.93305266,0.016768437,0.016714394,0.016750036,0.016714428,2020-11-14
