Date;Close/Last
02/18/2022;1899.8
02/17/2022;1902
02/16/2022;1871.5
02/15/2022;1856.2
02/14/2022;1869.4
02/11/2022;1842.1
02/10/2022;1837.4
02/09/2022;1836.6
02/08/2022;1827.9
02/07/2022;1821.8
02/04/2022;1807.8
02/03/2022;1804.1
02/02/2022;1810.3
02/01/2022;1801.5
01/31/2022;1796.4
01/28/2022;1786.6
01/27/2022;1795
01/26/2022;1832
01/25/2022;1855
01/24/2022;1844.2
01/21/2022;1834.1
01/20/2022;1844.9
01/19/2022;1845.5
01/18/2022;1812.4
01/14/2022;1816.5
01/13/2022;1821.4
01/12/2022;1827.3
01/11/2022;1818.5
01/10/2022;1798.8
01/07/2022;1797.4
01/06/2022;1789.2
01/05/2022;1825.1
01/04/2022;1814.6
01/03/2022;1800.1
12/31/2021;1828.6
12/30/2021;1814.1
12/29/2021;1805.8
12/28/2021;1810.9
12/27/2021;1808.8
12/23/2021;1811.7
12/22/2021;1802.2
12/21/2021;1788.7
12/20/2021;1794.6
12/17/2021;1804.9
12/16/2021;1798.2
12/15/2021;1764.5
12/14/2021;1772.3
12/13/2021;1788.3
12/10/2021;1784.8
12/09/2021;1776.7
12/08/2021;1785.5
12/07/2021;1784.7
12/06/2021;1779.5
12/03/2021;1783.9
12/02/2021;1762.7
12/01/2021;1784.3
11/30/2021;1776.5
11/29/2021;1785.2
11/26/2021;1788.1
11/24/2021;1786.9
11/23/2021;1786.3
11/22/2021;1809.1
11/19/2021;1854.3
11/18/2021;1864
11/17/2021;1872.8
11/16/2021;1854.1
11/15/2021;1866.6
11/12/2021;1868.5
11/11/2021;1863.9
11/10/2021;1848.3
11/09/2021;1830.8
11/08/2021;1828
11/05/2021;1816.8
11/04/2021;1793.5
11/03/2021;1763.9
11/02/2021;1789.4
11/01/2021;1795.8
10/29/2021;1783.9
10/28/2021;1802.6
10/27/2021;1798.8
10/26/2021;1793.4
10/25/2021;1806.8
10/22/2021;1796.3
10/21/2021;1781.9
10/20/2021;1784.9
10/19/2021;1770.5
10/18/2021;1765.7
10/15/2021;1768.3
10/14/2021;1797.9
10/13/2021;1794.7
10/12/2021;1759.3
