date,sp_r,dj_r,new_cases,new_deaths,people_vaccinated_per_hundred,funds_er,walcl,lr_treasury_r,headline_nsr,abstract_nsr,lead_parag_nsr,body_nsr,tweet_nsr,gold_pr,usd_eur,tw_topic_1,tw_topic_2,tw_topic_3,tw_topic_4,tw_topic_5,nyt_topic_1,nyt_topic_2,nyt_topic_3,nyt_topic_4,nyt_topic_5,nyt_topic_6,nyt_topic_7,nyt_topic_8,nyt_topic_9,nyt_topic_10
2020-05-20,0.016651043127809694,0.01770492978560648,22826.0,1501.0,0.0,0.05,7037258.0,-0.12,0.0769230769230769,0.4615384615384614,0.5,0.8461538461538461,0.2061855670103092,1750.6,0.9109,0.7090241,0.13219382,0.018260973,0.12225594,0.0182652,0.00015013861,0.029935533,0.078539595,0.00015014168,0.5579316,0.0262525,0.00015011511,0.1480946,0.00015013329,0.1586457
2020-05-21,-0.007773563825670228,-0.006567664891918515,25152.0,1190.0,0.0,0.05,7037258.0,-0.1,0.1304347826086956,0.0434782608695652,0.4347826086956521,0.782608695652174,0.1718213058419244,1721.9,0.9131,0.9553257,0.011224593,0.0111802,0.011125912,0.01114359,0.4259506,0.25703704,0.0001890326,0.00018899555,0.26999843,0.00018903188,0.00018895908,0.045879863,0.00018899895,0.00018901368
2020-05-22,0.0023537312066093043,0.0029628628654075474,23828.0,1204.0,0.0,0.05,7037258.0,-0.1,0.3043478260869565,0.2608695652173913,0.2608695652173912,0.9130434782608696,0.1517241379310345,1734.6,0.9173,0.87450504,0.0135993585,0.013390344,0.08511479,0.013390426,0.0044381595,0.27713177,0.00017485561,0.00017483789,0.3291277,0.00017485963,0.00017480958,0.38825336,0.00017484835,0.0001748431
2020-05-26,0.012289160703107874,0.013968826099687399,18726.0,656.0,0.0,0.05,7037258.0,-0.05,-0.0399999999999999,0.24,0.28,0.84,0.193103448275862,1728.2,0.9105,0.78478676,0.014700221,0.014513227,0.17157091,0.01442885,0.07134828,0.52689683,0.14842473,0.07109798,0.10575246,0.035422303,4.587692e-05,0.012434911,0.015670344,0.012906233
2020-05-27,0.014827343010993534,0.015912275277757654,18763.0,1478.0,0.0,0.05,7097316.0,-0.06,0.2105263157894736,0.4736842105263158,0.5263157894736843,0.894736842105263,0.1894736842105263,1726.8,0.9083,0.95512486,0.011318005,0.01118317,0.011216444,0.011157487,0.30558255,0.4208449,0.1079029,0.021898646,0.039240334,0.00017686804,0.00017683463,0.086157985,0.00017688803,0.017842112
2020-05-28,-0.002107946629426306,-0.0038594276094275812,21267.0,1089.0,0.0,0.05,7097316.0,-0.08,0.0,0.2916666666666666,0.4583333333333333,0.75,0.1510791366906475,1728.3,0.9027,0.8971996,0.011919137,0.012141643,0.06694438,0.011795265,0.005610606,0.041179825,0.29433137,7.0382346e-05,0.21125674,7.0382186e-05,7.037887e-05,0.28160146,0.00820596,0.15760285
2020-05-29,0.0048123100078224556,0.004592640789579235,25082.0,1117.0,0.0,0.05,7097316.0,-0.1,0.2666666666666666,0.4333333333333333,0.4666666666666667,0.7000000000000001,0.2083333333333333,1736.9,0.9005,0.7905988,0.010693682,0.010590836,0.11465923,0.07345743,0.5503576,0.15556726,0.00025809102,0.00025807036,0.00025810607,0.00025809102,0.0002580473,0.2922686,0.00025807586,0.00025807632
2020-06-01,0.0037512605483673057,0.005298591722446788,17840.0,774.0,0.0,0.08,7097316.0,-0.09,0.0,0.12,0.48,0.92,0.0824742268041237,1750.3,0.8979,0.018623095,0.18461844,0.22059937,0.19087581,0.3852833,8.878953e-05,0.43504998,8.87943e-05,0.060056195,0.30169246,8.879e-05,8.878943e-05,0.106493264,8.8797206e-05,0.09626418
2020-06-02,0.008210803965010045,0.008338514533749907,20090.0,980.0,0.0,0.08,7097316.0,-0.06,0.1923076923076923,0.3461538461538461,0.1923076923076923,0.6923076923076923,0.1358885017421603,1734.0,0.8954,0.22393411,0.19889778,0.20353656,0.015639482,0.35799205,0.046563778,0.5331492,0.16753872,0.0451308,5.519168e-05,0.11274073,5.5178964e-05,0.062120862,0.0004438717,0.032201704
2020-06-03,0.013648963587616195,0.015053143667425287,19156.0,1009.0,0.0,0.08,7165217.0,-0.02,0.0588235294117647,0.6470588235294118,0.1764705882352941,0.8823529411764706,0.2372881355932203,1704.8,0.8901,0.025282282,0.025282314,0.025449187,0.025282603,0.89870363,0.00022862415,0.00022862607,0.00022862865,0.00022866599,0.89228535,0.012231166,0.00022858544,0.062327847,0.031783905,0.00022862751
