date,sp_close_pr,dj_close_pr,new_cases,new_deaths,people_vaccinated_per_hundred,funds_er,walcl,lr_treasury_r,headline_nsr,abstract_nsr,lead_parag_nsr,body_nsr,tweet_nsr,gold_pr,usd_eur
2020-05-21,2948.51,29896.76,25152.0,1190.0,0.0,0.05,7037258.0,-0.1,0.1304347826086956,0.0434782608695652,0.4347826086956521,0.782608695652174,0.1718213058419244,1721.9,0.9131
2020-05-22,2955.45,29985.34,23828.0,1204.0,0.0,0.05,7037258.0,-0.1,0.3043478260869565,0.2608695652173913,0.2608695652173912,0.9130434782608696,0.1517241379310345,1734.6,0.9173
2020-05-26,2991.77,30404.2,18726.0,656.0,0.0,0.05,7037258.0,-0.05,-0.0399999999999999,0.24,0.28,0.84,0.193103448275862,1728.2,0.9105
2020-05-27,3036.13,30888.0,18763.0,1478.0,0.0,0.05,7097316.0,-0.06,0.2105263157894736,0.4736842105263158,0.5263157894736843,0.894736842105263,0.1894736842105263,1726.8,0.9083
2020-05-28,3029.73,30768.79,21267.0,1089.0,0.0,0.05,7097316.0,-0.08,0.0,0.2916666666666666,0.4583333333333333,0.75,0.1510791366906475,1728.3,0.9027
2020-05-29,3044.31,30910.1,25082.0,1117.0,0.0,0.05,7097316.0,-0.1,0.2666666666666666,0.4333333333333333,0.4666666666666667,0.7000000000000001,0.2083333333333333,1736.9,0.9005
2020-06-01,3055.73,31073.88,17840.0,774.0,0.0,0.08,7097316.0,-0.09,0.0,0.12,0.48,0.92,0.0824742268041237,1750.3,0.8979
2020-06-02,3080.82,31332.99,20090.0,980.0,0.0,0.08,7097316.0,-0.06,0.1923076923076923,0.3461538461538461,0.1923076923076923,0.6923076923076923,0.1358885017421603,1734.0,0.8954
2020-06-03,3122.87,31804.65,19156.0,1009.0,0.0,0.08,7165217.0,-0.02,0.0588235294117647,0.6470588235294118,0.1764705882352941,0.8823529411764706,0.2372881355932203,1704.8,0.8901
2020-06-04,3112.35,31699.35,27934.0,1006.0,0.0,0.08,7165217.0,0.03,0.0869565217391304,0.2173913043478261,0.3043478260869565,0.9130434782608696,0.2137931034482758,1727.4,0.8822
2020-06-05,3193.93,32538.05,26439.0,878.0,0.0,0.08,7165217.0,0.06,-0.1052631578947368,-0.1052631578947368,0.3157894736842105,0.7894736842105263,0.1344827586206896,1683.0,0.8858
2020-06-08,3232.39,32981.16,16899.0,511.0,0.0,0.08,7165217.0,0.04,0.1875,0.125,0.3125,0.875,0.1777003484320557,1705.1,0.8854
2020-06-09,3207.18,32665.6,20321.0,914.0,0.0,0.08,7165217.0,0.01,0.0384615384615384,0.0,0.5384615384615384,0.8461538461538463,0.1590106007067138,1721.9,0.8818
2020-06-10,3190.14,32437.11,21718.0,875.0,0.0,0.08,7168936.0,-0.07,0.0666666666666666,0.0333333333333333,0.2666666666666666,0.9666666666666668,0.1489361702127659,1720.7,0.8789
2020-06-11,3002.1,30484.44,22278.0,817.0,0.0,0.08,7168936.0,-0.14,0.0625,0.4375,0.1875,0.875,0.096551724137931,1739.8,0.8851
2020-06-12,3041.31,30911.92,25558.0,825.0,0.0,0.08,7168936.0,-0.08,-0.04,0.32,0.3199999999999999,0.92,0.2346938775510204,1737.3,0.8884
2020-06-15,3066.59,31228.39,20999.0,401.0,0.0,0.08,7168936.0,-0.09,0.1153846153846153,0.1153846153846153,0.3846153846153846,0.8461538461538463,0.1438848920863309,1727.2,0.883
2020-06-16,3124.74,31822.67,24549.0,786.0,0.0,0.08,7168936.0,-0.06,-0.0384615384615384,0.0769230769230769,0.3461538461538462,0.8461538461538463,0.1398963730569948,1736.5,0.8878
2020-06-17,3113.49,31678.72,27050.0,747.0,0.0,0.08,7094690.0,-0.06,-0.0416666666666666,0.3333333333333333,0.6666666666666667,0.8333333333333333,0.2145328719723183,1735.6,0.8894
2020-06-18,3115.34,31704.37,28227.0,700.0,0.0,0.08,7094690.0,-0.11,0.0833333333333333,0.3333333333333333,0.2916666666666666,0.875,0.1736842105263157,1731.1,0.8926
2020-06-19,3097.74,31534.06,31054.0,634.0,0.0,0.08,7094690.0,-0.13,0.0,0.0909090909090909,0.1818181818181818,0.8636363636363636,0.1295336787564767,1753.0,0.8945
2020-06-22,3117.86,31738.05,29801.0,378.0,0.0,0.08,7094690.0,-0.17,0.0625,0.5,0.625,0.75,0.164021164021164,1766.4,0.888
2020-06-23,3131.29,31864.58,38730.0,739.0,0.0,0.08,7094690.0,-0.18,-0.1538461538461538,0.2692307692307693,0.2307692307692307,1.0,0.2152777777777778,1782.0,0.8843
2020-06-24,3050.33,31008.58,36251.0,755.0,0.0,0.08,7082302.0,-0.18,0.2857142857142857,0.1904761904761904,0.2857142857142857,0.9047619047619048,0.2097902097902098,1775.1,0.8888
2020-06-25,3083.76,31373.25,39298.0,548.0,0.0,0.08,7082302.0,-0.2,0.074074074074074,0.2962962962962963,0.3703703703703704,0.8148148148148148,0.1379310344827586,1770.6,0.8914
2020-06-26,3009.05,30620.42,49046.0,626.0,0.0,0.08,7082302.0,-0.23,-0.1249999999999999,0.0833333333333333,0.3333333333333332,0.75,0.0944055944055943,1780.3,0.8914
2020-06-29,3053.24,31093.8,41296.0,369.0,0.0,0.08,7082302.0,-0.22,0.0714285714285714,0.5,0.1785714285714285,0.8571428571428572,0.1924398625429553,1781.2,0.8894
2020-06-30,3100.29,31576.79,49824.0,559.0,0.0,0.08,7082302.0,-0.2,0.2307692307692307,0.1923076923076923,0.4230769230769231,0.7692307692307692,0.2222222222222222,1800.5,0.8902
2020-07-01,3115.86,31714.07,49122.0,698.0,0.0,0.09,7009040.0,-0.2,0.1666666666666666,0.4166666666666667,0.2916666666666667,0.8333333333333333,0.25,1779.9,0.8887
2020-07-02,3130.01,31859.2,54944.0,739.0,0.0,0.09,7009040.0,-0.23,0.1052631578947368,0.2105263157894736,0.1578947368421052,0.894736842105263,0.0833333333333333,1790.0,0.8896
2020-07-06,3179.72,32357.45,43166.0,371.0,0.0,0.09,7009040.0,-0.24,0.0625,0.4375,0.375,0.9375,0.1293706293706293,1793.5,0.8842
2020-07-07,3145.32,31995.87,57230.0,1141.0,0.0,0.09,7009040.0,-0.27,0.2272727272727272,0.2272727272727273,0.1818181818181818,0.8181818181818181,0.1535836177474402,1809.9,0.8871
2020-07-08,3169.94,32262.1,60306.0,841.0,0.0,0.09,6920716.0,-0.24,0.0,0.3076923076923076,0.4615384615384615,0.6923076923076923,0.2206896551724137,1820.6,0.8827
2020-07-09,3152.05,32058.03,59656.0,1031.0,0.0,0.09,6920716.0,-0.29,0.25,0.4166666666666667,0.4583333333333333,0.7083333333333334,0.1118881118881119,1803.8,0.8861
2020-07-10,3185.04,32408.34,68858.0,816.0,0.0,0.09,6920716.0,-0.27,-0.08,0.48,0.32,0.8400000000000001,0.2377622377622378,1801.9,0.8849
2020-07-13,3155.22,32051.64,59366.0,435.0,0.0,0.09,6920716.0,-0.29,-0.1666666666666666,0.4444444444444445,0.2222222222222222,0.8888888888888888,0.2157534246575342,1814.1,0.8814
2020-07-14,3197.52,32491.4,65662.0,896.0,0.0,0.09,6920716.0,-0.3,0.0833333333333333,0.375,0.125,0.7083333333333334,0.2465753424657534,1813.4,0.8772
2020-07-15,3226.56,32874.73,66028.0,965.0,0.0,0.09,6958604.0,-0.29,0.2105263157894736,0.2105263157894736,0.2631578947368421,0.7894736842105263,0.1891191709844559,1813.8,0.8763
2020-07-16,3215.57,32747.2,70815.0,961.0,0.0,0.09,6958604.0,-0.31,0.1052631578947368,0.1578947368421052,0.2631578947368421,0.9473684210526316,0.2248062015503876,1800.3,0.8784
2020-07-17,3224.73,32859.69,66472.0,915.0,0.0,0.09,6958604.0,-0.33,0.4090909090909091,0.3181818181818182,0.2272727272727272,0.8636363636363636,0.2717770034843205,1810.0,0.8748
2020-07-20,3251.84,33132.24,60663.0,529.0,0.0,0.09,6958604.0,-0.34,0.1739130434782608,0.2173913043478261,0.5217391304347826,1.0,0.3962655601659751,1817.4,0.8736
