nyt_topic_1,nyt_topic_2,nyt_topic_3,nyt_topic_4,nyt_topic_5,nyt_topic_6,nyt_topic_7,nyt_topic_8,nyt_topic_9,nyt_topic_10,date
0.00018442728,0.0057249777,0.07226034,0.013919695,0.8550505,0.026384747,0.00018439542,0.025922028,0.00018442873,0.00018443503,2020-05-01
5.9681734e-05,5.9681744e-05,0.036193255,5.9678994e-05,0.7814474,0.047637075,5.9669343e-05,0.060282785,0.0076930565,0.06650774,2020-05-02
0.00030363185,0.00030366145,0.18201369,0.000303658,0.76416993,0.00030364114,0.00030360516,0.00030365764,0.024303047,0.0276915,2020-05-03
0.011122542,0.4787506,0.00996253,0.037968397,0.10158092,4.442716e-05,4.442031e-05,0.07637214,0.13361704,0.15053694,2020-05-04
0.08029829,0.4603844,0.046030995,0.03899152,0.10581869,0.07951309,4.6334386e-05,0.087980874,0.058167573,0.042768307,2020-05-05
0.00013673454,0.010041899,0.070264064,0.014604217,0.6084892,0.24232271,0.00013671111,0.053730894,0.00013674684,0.00013676644,2020-05-06
0.0002778124,0.027216457,0.00027780817,0.00027779306,0.03037368,0.00027779094,0.00027774318,0.9290449,0.011698247,0.00027781902,2020-05-07
0.0002736492,0.38083866,0.13279027,0.000273622,0.00027364714,0.41422752,0.0002735786,0.07050174,0.00027365348,0.0002736262,2020-05-08
0.00023538503,0.4178857,0.06960195,0.02413357,0.34157902,0.00023535166,0.0002353103,0.00023535424,0.00023533992,0.14562306,2020-05-09
0.00019950986,0.14537904,0.00019950543,0.08533168,0.0042232685,0.00019951268,0.00019946104,0.13623531,0.059385832,0.5686469,2020-05-10
0.021779506,0.25424218,0.14792767,0.00020986355,0.117972806,0.41014642,0.0002098463,0.013625332,0.00020986305,0.03367651,2020-05-11
0.00016968594,0.26349777,0.00016967987,0.06106875,0.06923995,0.00016967367,0.00016963472,0.51894456,0.0715807,0.014989598,2020-05-12
0.00018979865,0.122004725,0.0001898068,0.18972227,0.00018983353,0.06466681,0.00018977711,0.31251654,0.27763286,0.03269761,2020-05-13
0.0001389031,0.2807435,0.00013890011,0.071639515,0.011054504,0.00013890673,0.00013887812,0.1410266,0.48336077,0.01161949,2020-05-14
0.00014441882,0.039481487,0.00014442227,0.011635718,0.00014444755,0.00014443546,0.00014439864,0.28236932,0.6656469,0.00014442825,2020-05-15
0.00014972604,0.65504676,0.00014971389,0.061442092,0.00014973544,0.00014972266,0.00014969734,0.09019794,0.10336061,0.08920402,2020-05-16
0.00014217329,0.08426848,0.24272324,0.0001421723,0.028927783,0.13740818,0.00014213996,0.0026419773,0.0001421734,0.5034617,2020-05-17
7.4088726e-05,0.004020084,7.409556e-05,7.409832e-05,0.17905048,0.3134855,7.407739e-05,0.364796,0.1273065,0.011045085,2020-05-18
0.018765552,0.33312806,0.052569017,0.10295942,0.24254964,0.033567514,4.6488618e-05,0.049781315,0.010328533,0.15630445,2020-05-19
0.00015013861,0.029935533,0.078539595,0.00015014168,0.5579316,0.0262525,0.00015011511,0.1480946,0.00015013329,0.1586457,2020-05-20
0.4259506,0.25703704,0.0001890326,0.00018899555,0.26999843,0.00018903188,0.00018895908,0.045879863,0.00018899895,0.00018901368,2020-05-21
0.0044381595,0.27713177,0.00017485561,0.00017483789,0.3291277,0.00017485963,0.00017480958,0.38825336,0.00017484835,0.0001748431,2020-05-22
0.0505647,0.0025246795,0.00020957598,0.048152372,0.35578522,0.07596637,0.00020951747,0.00020957414,0.003734745,0.4626432,2020-05-23
0.0008304994,0.41273135,0.039553914,0.14016432,0.129407,4.6144658e-05,4.6135086e-05,0.081846364,0.003118187,0.19225608,2020-05-24
4.6531426e-05,0.39884785,0.05270026,0.052354045,0.11844933,0.013873184,4.6526922e-05,0.044138335,0.010553515,0.30899042,2020-05-25
0.07134828,0.52689683,0.14842473,0.07109798,0.10575246,0.035422303,4.587692e-05,0.012434911,0.015670344,0.012906233,2020-05-26
0.30558255,0.4208449,0.1079029,0.021898646,0.039240334,0.00017686804,0.00017683463,0.086157985,0.00017688803,0.017842112,2020-05-27
0.005610606,0.041179825,0.29433137,7.0382346e-05,0.21125674,7.0382186e-05,7.037887e-05,0.28160146,0.00820596,0.15760285,2020-05-28
0.5503576,0.15556726,0.00025809102,0.00025807036,0.00025810607,0.00025809102,0.0002580473,0.2922686,0.00025807586,0.00025807632,2020-05-29
0.0001704919,0.011529431,0.030470643,0.11974506,0.0001705298,0.18195277,0.00017046288,0.3379765,0.31764364,0.00017048807,2020-05-30
